"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
4.530416656E-3,-3.568468392E-1,6.489471197E-1,6.916970015E-2,7.438121256E-1
1.450541665E-2,-3.717714548E-1,6.847370863E-1,1.189377904E-1,7.881783364E-1
2.448141665E-2,-3.803573251E-1,6.720948815E-1,1.595983207E-1,7.885777378E-1
3.445641664E-2,-3.847201169E-1,6.166904569E-1,1.860821396E-1,7.502954422E-1
4.443141667E-2,-3.779385090E-1,5.162993073E-1,2.011076808E-1,6.707061880E-1
5.440741664E-2,-3.579882383E-1,4.014830291E-1,2.062694132E-1,5.761000541E-1
6.438241666E-2,-3.226061165E-1,2.964183092E-1,2.062211037E-1,4.842165467E-1
7.435741666E-2,-2.802685201E-1,2.288427353E-1,1.857358068E-1,4.067151716E-1
8.433225000E-2,-2.248041481E-1,2.072200775E-1,1.572024077E-1,3.437872344E-1
9.430724999E-2,-1.633761972E-1,2.420984358E-1,1.238298118E-1,3.172337572E-1
1.042832500E-1,-8.873169124E-2,3.249706626E-1,8.476769179E-2,3.473684012E-1
1.142582500E-1,-6.326562725E-3,4.573150873E-1,5.067736655E-2,4.601579185E-1
1.242332500E-1,7.596092671E-2,6.204621196E-1,1.412034221E-2,6.252540990E-1
1.342092500E-1,1.583479345E-1,7.990289330E-1,-1.963868737E-2,8.148048737E-1
1.441842500E-1,2.355404198E-1,9.643266797E-1,-4.278448969E-2,9.935973768E-1
1.541592500E-1,3.056731820E-1,1.098842859E0,-5.879461393E-2,1.142080790E0
1.641352500E-1,3.644848764E-1,1.184833765E0,-6.924360991E-2,1.241561498E0
1.741102500E-1,4.038703442E-1,1.209602952E0,-7.533559203E-2,1.277468594E0
1.840862500E-1,4.283268750E-1,1.179747820E0,-8.163332939E-2,1.257749113E0
1.940612500E-1,4.356790483E-1,1.106267810E0,-8.636815846E-2,1.192100734E0
2.040362500E-1,4.295720160E-1,1.000819206E0,-8.889126033E-2,1.092736408E0
2.140122500E-1,4.022687376E-1,8.764795065E-1,-8.719349653E-2,9.683177001E-1
