"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
4.821250041E-4,3.212607503E-1,-8.978521228E-1,5.222413689E-2,9.550257926E-1
1.045712500E-2,3.424816430E-1,-8.265609145E-1,5.221801251E-2,8.962272826E-1
2.043312500E-2,3.550839126E-1,-6.732648015E-1,4.626683146E-2,7.625684872E-1
3.040812502E-2,3.636022806E-1,-4.039531350E-1,3.034539148E-2,5.443395967E-1
4.038412502E-2,3.541028202E-1,-5.054459348E-2,8.247144520E-3,3.577870576E-1
5.036012502E-2,3.489128649E-1,3.378417790E-1,4.682503641E-3,4.856945344E-1
6.033512502E-2,3.350687623E-1,6.985209584E-1,7.444144227E-3,7.747632026E-1
7.031112502E-2,3.077902496E-1,1.021847129E0,1.523229387E-2,1.067304275E0
8.029000001E-2,2.661977112E-1,1.293721080E0,1.267385576E-2,1.320884583E0
9.026600001E-2,2.171603739E-1,1.464210749E0,1.095212158E-2,1.480267440E0
1.002410000E-1,1.578724235E-1,1.492616773E0,2.645390108E-3,1.500944879E0
1.102170000E-1,9.370861948E-2,1.391482949E0,6.681144238E-3,1.394650760E0
1.201930000E-1,2.010527067E-2,1.209653020E0,9.165734984E-3,1.209854810E0
1.301680000E-1,-5.762174726E-2,9.912939668E-1,5.715344101E-3,9.929837156E-1
1.401440000E-1,-1.339029074E-1,7.644611597E-1,-2.897371538E-3,7.761051785E-1
1.501190000E-1,-2.129905373E-1,5.381419659E-1,-1.451461203E-2,5.789407728E-1
1.600950000E-1,-2.834350467E-1,3.188480735E-1,-2.449801192E-2,4.273168289E-1
1.700700000E-1,-3.389917910E-1,1.330891103E-1,-2.691936120E-2,3.651750233E-1
1.800460000E-1,-3.846977055E-1,2.657116577E-2,-2.605322376E-2,3.864933660E-1
1.900210000E-1,-4.178500473E-1,3.845312446E-2,-2.192372829E-2,4.201879992E-1
1.999970000E-1,-4.376833737E-1,1.624113619E-1,-2.435200289E-2,4.674796318E-1
2.099730000E-1,-4.378897548E-1,3.732567430E-1,-3.013905138E-2,5.761739285E-1
