"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
1.021337500E-2,1.312224120E-1,-1.915376484E-1,-1.394109428E-2,2.325948114E-1
2.018837500E-2,3.167941272E-1,-2.688798308E-1,-2.310316637E-2,4.161593911E-1
3.016337502E-2,4.806356728E-1,-3.069351912E-1,-3.907809407E-2,5.716178435E-1
4.013837501E-2,6.193056703E-1,-3.129035830E-1,-5.439233780E-2,6.959933131E-1
5.011337501E-2,7.242798805E-1,-2.715200186E-1,-7.242690027E-2,7.768848832E-1
6.008837500E-2,7.923039198E-1,-1.771610230E-1,-9.672718495E-2,8.176109574E-1
7.006337502E-2,8.142372370E-1,-4.019632936E-2,-1.145311072E-1,8.232347159E-1
8.003837502E-2,8.047375083E-1,1.252621412E-1,-1.299984753E-1,8.247379371E-1
9.001337501E-2,7.636603713E-1,3.371814787E-1,-1.381710768E-1,8.461440532E-1
9.998837500E-2,6.823002696E-1,5.592973828E-1,-1.401500702E-1,8.933024474E-1
1.099633750E-1,5.660576820E-1,7.435286641E-1,-1.366531253E-1,9.444205898E-1
1.199383750E-1,4.326195121E-1,1.017814279E0,-1.326200217E-1,1.113864273E0
1.299133750E-1,2.806868255E-1,1.304505587E0,-1.325203627E-1,1.340925638E0
1.398883750E-1,1.126909032E-1,1.515314698E0,-1.302604079E-1,1.525072342E0
1.498633750E-1,-5.860348418E-2,1.639503956E0,-1.209588796E-1,1.645004146E0
1.598383750E-1,-2.318138927E-1,1.710012197E0,-1.160312295E-1,1.729549838E0
1.698143750E-1,-4.022917747E-1,1.659733057E0,-1.077234000E-1,1.711185795E0
1.797893750E-1,-5.564591885E-1,1.459802151E0,-8.722105622E-2,1.564696987E0
1.897643750E-1,-6.883185506E-1,1.158476710E0,-5.718939379E-2,1.348748065E0
1.997393750E-1,-7.887117267E-1,8.224316239E-1,-1.721214876E-2,1.139629862E0
2.097143750E-1,-8.537784219E-1,4.943717420E-1,2.751994506E-2,9.869642143E-1
2.196893750E-1,-8.724277020E-1,2.187401503E-1,7.736793160E-2,9.027530921E-1
2.296643750E-1,-8.472259045E-1,3.825976327E-2,1.233726740E-1,8.570159621E-1
2.396393750E-1,-7.713934779E-1,9.360469878E-3,1.635430008E-1,7.885948448E-1
2.496143750E-1,-6.480872035E-1,1.382315606E-1,1.855138540E-1,6.881427016E-1
2.595893750E-1,-4.821485877E-1,4.137986898E-1,1.914572269E-1,6.635906012E-1
2.695643750E-1,-2.895153761E-1,7.954223156E-1,1.666938663E-1,8.627297712E-1
2.795393750E-1,-8.085404336E-2,1.252483010E0,1.299675405E-1,1.261801343E0
2.895143750E-1,1.231026351E-1,1.708745241E0,8.422037959E-2,1.715242732E0
2.994893750E-1,3.125686944E-1,2.106094122E0,3.834130615E-2,2.129507383E0
3.094643750E-1,4.796269238E-1,2.393810511E0,1.799411140E-3,2.441387717E0
3.194393750E-1,6.083369851E-1,2.541777372E0,-2.490543574E-2,2.613680619E0
3.294143750E-1,6.937921643E-1,2.530902147E0,-4.035785794E-2,2.624584158E0
3.393893750E-1,7.370693088E-1,2.370750189E0,-4.603998363E-2,2.483112423E0
3.493643750E-1,7.328180075E-1,2.078502655E0,-4.355811700E-2,2.204335008E0
3.593393750E-1,6.848129034E-1,1.704674602E0,-4.210589454E-2,1.837568262E0
3.693143750E-1,5.940319300E-1,1.301457286E0,-4.575070366E-2,1.431348360E0
3.792893750E-1,4.738376141E-1,9.533543587E-1,-5.063840374E-2,1.065819340E0
3.892643750E-1,3.397785723E-1,7.052245736E-1,-6.287477911E-2,7.853307681E-1
3.992403750E-1,1.930591762E-1,5.953351259E-1,-7.719060779E-2,6.305982458E-1
4.092153750E-1,5.435690284E-2,6.262805462E-1,-9.054225683E-2,6.351219534E-1
4.191910833E-1,-8.547769487E-2,7.913296819E-1,-9.845450521E-2,8.019989971E-1
4.291660833E-1,-2.176348567E-1,1.053731084E0,-9.033255279E-2,1.079756499E0
4.391410833E-1,-3.290026486E-1,1.385059237E0,-7.442975044E-2,1.425542571E0
4.491160834E-1,-4.233089983E-1,1.734505534E0,-4.893782362E-2,1.786083667E0
4.590910834E-1,-5.029111505E-1,2.049009800E0,-2.595420927E-2,2.109984456E0
4.690660833E-1,-5.602154136E-1,2.268610001E0,-3.873482347E-4,2.336756897E0
4.790410833E-1,-5.970202684E-1,2.374505758E0,2.560164034E-2,2.448543698E0
4.890160833E-1,-6.104671359E-1,2.333507299E0,5.158503726E-2,2.412589368E0
4.989910834E-1,-6.061543822E-1,2.163887501E0,7.754899561E-2,2.248520869E0
5.089660833E-1,-5.759096146E-1,1.880243301E0,1.042899191E-1,1.969229073E0
5.189410833E-1,-5.251284838E-1,1.527581453E0,1.276975125E-1,1.620361588E0
5.289160833E-1,-4.544982612E-1,1.150180578E0,1.503765881E-1,1.245831911E0
5.388910834E-1,-3.690584600E-1,7.952032685E-1,1.601943374E-1,8.911871918E-1
5.488660834E-1,-2.615354657E-1,5.070031881E-1,1.629448235E-1,5.932992905E-1
5.588410833E-1,-1.433816850E-1,3.076730371E-1,1.448270679E-1,3.690472665E-1
5.688160833E-1,-1.473790035E-2,2.211509347E-1,1.084034070E-1,2.467311093E-1
5.787910833E-1,1.160078645E-1,2.304429710E-1,4.989615083E-2,2.627763562E-1
5.887660834E-1,2.420626134E-1,3.316834867E-1,-1.286713686E-2,4.108208945E-1
5.987410833E-1,3.554749191E-1,4.836495817E-1,-8.132688701E-2,6.057172595E-1
6.087170833E-1,4.467233717E-1,6.709195971E-1,-1.343343407E-1,8.171539584E-1
6.186920833E-1,5.162161589E-1,8.436481953E-1,-1.787044704E-1,1.005065514E0
6.286670833E-1,5.492026210E-1,9.663342834E-1,-1.976454258E-1,1.128932762E0
6.386420833E-1,5.452049375E-1,1.013037324E0,-2.017607987E-1,1.167989924E0
6.486170834E-1,5.026712418E-1,9.798009992E-1,-1.897464395E-1,1.117448919E0
6.585920833E-1,4.376323223E-1,8.551565409E-1,-1.607531458E-1,9.739899039E-1
6.685670833E-1,3.388934135E-1,6.407989860E-1,-9.964989871E-2,7.317118206E-1
6.785420833E-1,2.061928660E-1,3.491093516E-1,-2.061819658E-2,4.059777671E-1
6.885170834E-1,5.759497732E-2,2.119920403E-2,5.874475092E-2,8.495606761E-2
6.984920833E-1,-9.032151848E-2,-2.866406441E-1,1.310466379E-1,3.278628629E-1
7.084670833E-1,-2.333542109E-1,-5.470862985E-1,1.828884780E-1,6.222586288E-1
7.184420833E-1,-3.559528291E-1,-7.345893383E-1,2.102210224E-1,8.429215804E-1
7.284170833E-1,-4.642366171E-1,-8.463815451E-1,2.212226689E-1,9.903619670E-1
7.383920834E-1,-5.474359393E-1,-8.765514493E-1,2.187991887E-1,1.056362455E0
7.483670833E-1,-6.004074216E-1,-8.329371214E-1,2.058308274E-1,1.047205639E0
7.583420833E-1,-6.157168150E-1,-7.194315791E-1,1.810546517E-1,9.640901307E-1
7.683170833E-1,-5.995824337E-1,-5.757430196E-1,1.381239146E-1,8.426489988E-1
7.782920834E-1,-5.621975064E-1,-4.243508279E-1,7.985954732E-2,7.088844819E-1
7.882670833E-1,-4.951295853E-1,-3.007412851E-1,2.392329089E-2,5.798025100E-1
7.982420833E-1,-4.039520025E-1,-2.261352241E-1,-3.584283590E-2,4.643264679E-1
8.082170833E-1,-2.932181656E-1,-2.051277608E-1,-8.404849470E-2,3.675846030E-1
8.181920833E-1,-1.675467789E-1,-2.604895532E-1,-1.191545501E-1,3.318501729E-1
8.281680833E-1,-3.965934366E-2,-4.024010599E-1,-1.386826187E-1,4.274720403E-1
8.381430834E-1,8.181222528E-2,-6.153285503E-1,-1.461189687E-1,6.377093524E-1
8.481180833E-1,1.947437823E-1,-8.831104040E-1,-1.439819932E-1,9.157182650E-1
8.580930833E-1,3.092213571E-1,-1.161350369E0,-1.413151026E-1,1.210091933E0
8.680680833E-1,4.067450464E-1,-1.427819729E0,-1.313522309E-1,1.490424141E0
8.780430834E-1,4.883584082E-1,-1.656157017E0,-1.150592864E-1,1.730487977E0
8.880180834E-1,5.490331054E-1,-1.828243852E0,-1.017762125E-1,1.911614849E0
8.979930833E-1,5.867362618E-1,-1.918566823E0,-9.174302220E-2,2.008376179E0
9.079680833E-1,6.009246707E-1,-1.921538353E0,-8.267964423E-2,2.015007699E0
9.179430833E-1,5.947474837E-1,-1.834300160E0,-7.874695212E-2,1.929917804E0
9.279180834E-1,5.660434961E-1,-1.683440566E0,-7.523871213E-2,1.777649640E0
9.378930833E-1,5.041873455E-1,-1.494974256E0,-6.863646954E-2,1.579197223E0
9.478680833E-1,4.305808246E-1,-1.305651665E0,-5.406039208E-2,1.375881042E0
9.578430833E-1,3.314145505E-1,-1.132761717E0,-3.346963227E-2,1.180722206E0
9.678180834E-1,2.216442376E-1,-1.006084204E0,-6.451768801E-3,1.030229692E0
9.777930834E-1,9.740990400E-2,-9.473130703E-1,2.070448361E-2,9.525331586E-1
9.877680833E-1,-2.891960368E-2,-9.619662762E-1,5.465744436E-2,9.639517084E-1
9.977430833E-1,-1.553417295E-1,-1.043878436E0,8.790993690E-2,1.059028517E0
1.007718083E0,-2.739321291E-1,-1.186905742E0,1.237059161E-1,1.224372168E0
1.017693083E0,-3.755719364E-1,-1.362607479E0,1.510813534E-1,1.421470716E0
1.027668083E0,-4.571624100E-1,-1.547146440E0,1.702425182E-1,1.622233673E0
1.037644083E0,-5.111497641E-1,-1.710444570E0,1.812509596E-1,1.794365241E0
1.047619083E0,-5.301755667E-1,-1.827900767E0,1.833608449E-1,1.912048259E0
1.057594083E0,-5.135012269E-1,-1.871875882E0,1.712354720E-1,1.948569838E0
1.067569083E0,-4.659577310E-1,-1.841588855E0,1.502714753E-1,1.905557040E0
1.077544083E0,-3.910661936E-1,-1.738466263E0,1.084190980E-1,1.785203746E0
1.087519083E0,-2.915099263E-1,-1.569003940E0,5.846585706E-2,1.596925063E0
1.097494083E0,-1.749042124E-1,-1.355765700E0,2.257978544E-3,1.367003005E0
1.107469083E0,-4.449285194E-2,-1.126588941E0,-6.200069189E-2,1.129170643E0
1.117444083E0,8.367417008E-2,-9.119895697E-1,-1.155608594E-1,9.230821492E-1
1.127419083E0,2.106200904E-1,-7.373314500E-1,-1.585427970E-1,7.830417026E-1
1.137394083E0,3.183880746E-1,-6.172583103E-1,-1.884927005E-1,7.196584508E-1
1.147369083E0,4.143437147E-1,-5.568408966E-1,-2.032421082E-1,7.232287692E-1
1.157344083E0,4.882525802E-1,-5.654223561E-1,-1.998010427E-1,7.733133126E-1
1.167319083E0,5.331510305E-1,-6.296117902E-1,-1.849506795E-1,8.454985402E-1
1.177294083E0,5.476309061E-1,-7.314252257E-1,-1.615617275E-1,9.278925918E-1
1.187269083E0,5.341888666E-1,-8.368776441E-1,-1.288778186E-1,1.001165036E0
1.197244083E0,4.982119203E-1,-9.357730150E-1,-9.329451621E-2,1.064232174E0
1.207219083E0,4.416499436E-1,-1.002409220E0,-5.698504299E-2,1.096871101E0
1.217194083E0,3.633737862E-1,-1.012263179E0,-2.373547480E-2,1.075769782E0
1.227169083E0,2.752696872E-1,-9.641873240E-1,3.705095500E-3,1.002718467E0
1.237144083E0,1.726921648E-1,-8.616681695E-1,3.026826307E-2,8.793240505E-1
1.247119083E0,6.852234155E-2,-6.992779970E-1,4.604628682E-2,7.041344253E-1
1.257094083E0,-3.332545608E-2,-4.887753725E-1,5.737377703E-2,4.932582499E-1
1.267070083E0,-1.272849739E-1,-2.475644350E-1,6.764959544E-2,2.864717819E-1
1.277045083E0,-2.164984792E-1,-1.718077064E-2,7.073567063E-2,2.284081993E-1
1.287020083E0,-2.977959812E-1,1.939249933E-1,7.231052220E-2,3.626543272E-1
1.296995083E0,-3.639369309E-1,3.772450089E-1,6.816744059E-2,5.285931199E-1
1.306970083E0,-4.145594835E-1,5.103826523E-1,5.838144943E-2,6.601199973E-1
1.316945083E0,-4.500958920E-1,5.889360309E-1,5.375207961E-2,7.431831850E-1
1.326920083E0,-4.673048556E-1,6.066823602E-1,4.699454084E-2,7.672325600E-1
1.336895083E0,-4.623250365E-1,5.723124146E-1,4.095848650E-2,7.368605953E-1
1.346870083E0,-4.361431599E-1,5.115891695E-1,3.609923646E-2,6.732365774E-1
1.356845083E0,-3.911586404E-1,4.346043766E-1,3.688220307E-2,5.858722924E-1
1.366820083E0,-3.290610015E-1,3.561378717E-1,3.724669293E-2,4.863153736E-1
1.376795083E0,-2.492817640E-1,3.085162938E-1,3.164553270E-2,3.979009187E-1
1.386770083E0,-1.566979140E-1,2.995255589E-1,2.673356049E-2,3.390936154E-1
1.396745083E0,-5.928107351E-2,3.379307389E-1,2.556363307E-2,3.440420459E-1
1.406720083E0,4.513446987E-2,4.380971789E-1,2.107849345E-2,4.409201305E-1
1.416694750E0,1.488843113E-1,5.780351162E-1,7.455091923E-3,5.969478303E-1
1.426669750E0,2.393210232E-1,7.559484839E-1,-9.998477064E-3,7.929896797E-1
1.436644750E0,3.191902936E-1,9.484702349E-1,-2.804645151E-2,1.001131776E0
1.446619750E0,3.827648163E-1,1.141997337E0,-4.958106577E-2,1.205456389E0
1.456594750E0,4.204306901E-1,1.310194373E0,-6.834010780E-2,1.377694317E0
1.466569750E0,4.328168631E-1,1.435506701E0,-7.866975665E-2,1.501398967E0
1.476545750E0,4.178642929E-1,1.514302731E0,-8.422910422E-2,1.573155386E0
1.486520750E0,3.804814219E-1,1.534749627E0,-8.592591435E-2,1.583542167E0
1.496495750E0,3.154006898E-1,1.502716064E0,-8.629902452E-2,1.537881883E0
1.506470750E0,2.324598432E-1,1.424719691E0,-8.023890108E-2,1.445787695E0
1.516445750E0,1.355029345E-1,1.330563903E0,-7.033487409E-2,1.339293970E0
1.526420750E0,2.990960889E-2,1.225346565E0,-5.765857548E-2,1.227066950E0
1.536395750E0,-7.944111526E-2,1.130435705E0,-3.655675426E-2,1.133813111E0
1.546370750E0,-1.847025752E-1,1.062826037E0,-1.489343122E-2,1.078858675E0
1.556345750E0,-2.744718790E-1,1.039211988E0,1.402903162E-2,1.074938688E0
