"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
6.604958355E-3,2.865093350E-1,-1.133903265E0,8.699065447E-2,1.172770902E0
1.657995835E-2,2.810093760E-1,-1.163638473E0,1.280038655E-1,1.203912685E0
2.655495834E-2,2.182165533E-1,-1.034593463E0,1.586953700E-1,1.069198914E0
3.652995834E-2,1.111433581E-1,-7.829712629E-1,1.850414872E-1,8.121805197E-1
4.650495836E-2,-1.940266602E-2,-4.104094207E-1,1.678497195E-1,4.438309187E-1
5.647995835E-2,-1.521463245E-1,4.843459278E-2,1.277600974E-1,2.044921914E-1
6.645495835E-2,-2.696789801E-1,5.522623658E-1,6.892981380E-2,6.184430388E-1
7.642895836E-2,-3.827706575E-1,1.028344035E0,2.428283915E-3,1.097274226E0
8.640395835E-2,-4.835862815E-1,1.430850506E0,-7.736866921E-2,1.512340826E0
9.637895835E-2,-5.606592298E-1,1.713964224E0,-1.477384418E-1,1.809375246E0
1.063539583E-1,-6.176691651E-1,1.882858634E0,-1.950275004E-1,1.991157342E0
1.163289583E-1,-6.653162837E-1,1.941898823E0,-2.247859240E-1,2.064980752E0
1.263039584E-1,-6.951516271E-1,1.892542958E0,-2.101027369E-1,2.027090968E0
1.362789584E-1,-7.059877515E-1,1.730191827E0,-1.686900556E-1,1.876283240E0
1.462529583E-1,-6.895239353E-1,1.492128253E0,-9.273557365E-2,1.646356543E0
1.562279584E-1,-6.406884789E-1,1.221515417E0,1.075087674E-2,1.379382914E0
1.662029584E-1,-5.612903237E-1,9.478899837E-1,1.195564419E-1,1.108077611E0
1.761779583E-1,-4.722957313E-1,7.347593307E-1,2.160813957E-1,8.997920324E-1
1.861529583E-1,-3.687181771E-1,6.319713593E-1,2.861711085E-1,7.856429191E-1
1.961279583E-1,-2.614034414E-1,6.253240705E-1,3.280631602E-1,7.529856502E-1
2.061029584E-1,-1.395875216E-1,7.125449181E-1,3.370877504E-1,8.005205106E-1
2.160769583E-1,-8.739762008E-3,9.058760405E-1,3.102857172E-1,9.575829000E-1
2.260519583E-1,1.245981976E-1,1.195729613E0,2.483198941E-1,1.227581683E0
2.360269584E-1,2.570952475E-1,1.562322497E0,1.593628526E-1,1.591334682E0
2.460019584E-1,3.778146505E-1,1.953537703E0,5.845919251E-2,1.990595625E0
2.559769583E-1,4.780381918E-1,2.287268400E0,-3.859651461E-2,2.337008117E0
2.659519583E-1,5.523839593E-1,2.498185635E0,-1.209693700E-1,2.561384995E0
2.759269583E-1,6.022289991E-1,2.588430882E0,-1.760065109E-1,2.663387408E0
2.859009583E-1,6.293634772E-1,2.581005812E0,-1.994507611E-1,2.664107729E0
2.958759583E-1,6.322023869E-1,2.493139744E0,-1.920748800E-1,2.579208871E0
3.058509583E-1,6.062046885E-1,2.329787254E0,-1.609761417E-1,2.412738298E0
3.158259584E-1,5.535209775E-1,2.096735001E0,-1.138198078E-1,2.171551999E0
3.258009584E-1,4.715119898E-1,1.812763333E0,-5.510647222E-2,1.873891988E0
3.357759583E-1,3.612400889E-1,1.526050568E0,-8.855769411E-4,1.568223683E0
3.457499584E-1,2.482805550E-1,1.286029100E0,4.471839964E-2,1.310539513E0
3.557249584E-1,1.304607242E-1,1.142532110E0,7.118701935E-2,1.152157635E0
3.656999583E-1,1.405374892E-2,1.099090219E0,8.109064400E-2,1.102167187E0
3.756749583E-1,-1.003588513E-1,1.137446165E0,6.824142486E-2,1.143902343E0
3.856499583E-1,-2.030617297E-1,1.242563367E0,3.732411936E-2,1.259599491E0
3.956249584E-1,-2.954443693E-1,1.393704176E0,-8.198046125E-4,1.424675183E0
4.055999584E-1,-3.683030009E-1,1.572783113E0,-4.365993291E-2,1.615920793E0
4.155739583E-1,-4.192727208E-1,1.747343898E0,-8.151251078E-2,1.798789760E0
4.255489584E-1,-4.518027902E-1,1.891892433E0,-1.088853702E-1,1.948137255E0
4.355239584E-1,-4.666643143E-1,1.965325117E0,-1.167451590E-1,2.023340760E0
4.454989583E-1,-4.680117369E-1,1.952356100E0,-1.051428169E-1,2.010418946E0
4.554739583E-1,-4.537827373E-1,1.845181942E0,-7.326690853E-2,1.901573877E0
4.654489583E-1,-4.235283136E-1,1.655754447E0,-9.106086567E-3,1.709088044E0
4.754239584E-1,-3.768660128E-1,1.419033766E0,3.728590906E-2,1.468698423E0
4.853989583E-1,-3.276269734E-1,1.102697372E0,9.629139304E-2,1.154362578E0
4.953729583E-1,-2.805438936E-1,7.681970596E-1,1.607782543E-1,8.334754020E-1
5.053479584E-1,-2.114409357E-1,4.904521406E-1,2.008356154E-1,5.706010129E-1
5.153229584E-1,-1.256397516E-1,2.819798887E-1,2.084530592E-1,3.724925270E-1
5.252979583E-1,-3.877363726E-2,1.262209713E-1,2.334059030E-1,2.681668214E-1
5.352729583E-1,5.319516733E-2,2.996501699E-2,1.914091855E-1,2.009106876E-1
5.452479583E-1,1.315270662E-1,-3.317870200E-2,1.369658858E-1,1.927689012E-1
5.552229584E-1,1.966506690E-1,-4.426198080E-2,1.003873795E-1,2.251848896E-1
5.651969583E-1,2.653392851E-1,2.529766597E-2,3.084076196E-2,2.683208168E-1
5.751719583E-1,3.338328600E-1,1.517560035E-1,-4.395677894E-2,3.693324538E-1
5.851469584E-1,3.933819234E-1,2.544344366E-1,-8.753133565E-2,4.766004143E-1
5.951219584E-1,4.211869240E-1,3.047412634E-1,-1.194088385E-1,5.334080364E-1
6.050969583E-1,4.248551428E-1,3.013634086E-1,-1.375659853E-1,5.387450201E-1
6.150719583E-1,4.127880931E-1,2.542456985E-1,-1.357851177E-1,5.034605081E-1
6.250459584E-1,3.808661997E-1,1.501240134E-1,-1.142823100E-1,4.250373253E-1
6.350209583E-1,3.325194120E-1,-3.217880847E-3,-8.624134958E-2,3.435361473E-1
6.449959583E-1,2.799388170E-1,-2.032639831E-1,-4.654852301E-2,3.490684075E-1
6.549709583E-1,2.147742063E-1,-4.438283741E-1,1.244829036E-3,4.930650413E-1
6.649459584E-1,1.325490028E-1,-7.016918659E-1,3.751192242E-2,7.150859089E-1
6.749209584E-1,4.519785196E-2,-9.475061297E-1,6.387775391E-2,9.507318650E-1
6.848959583E-1,-3.683523461E-2,-1.149181485E0,7.880556583E-2,1.152469192E0
6.948699584E-1,-1.080803871E-1,-1.295247078E0,8.515161276E-2,1.302534898E0
7.048449584E-1,-1.664662063E-1,-1.389950275E0,7.367356867E-2,1.401820445E0
7.148199583E-1,-2.204942852E-1,-1.439127684E0,4.816874117E-2,1.456717696E0
7.247949583E-1,-2.738466859E-1,-1.457436085E0,1.716519892E-2,1.483039646E0
7.347699583E-1,-3.217590749E-1,-1.430890560E0,-2.088684589E-2,1.466769565E0
7.447449584E-1,-3.481055200E-1,-1.365292192E0,-5.341091752E-2,1.409983315E0
7.547199583E-1,-3.603741527E-1,-1.276807666E0,-7.447624952E-2,1.328779160E0
7.646949583E-1,-3.503577709E-1,-1.195565701E0,-8.608183265E-2,1.248814636E0
7.746689584E-1,-3.347961009E-1,-1.150902629E0,-8.392014354E-2,1.201543957E0
7.846439584E-1,-3.119278550E-1,-1.160682440E0,-6.938996911E-2,1.203867800E0
